tt-branded-id	A	r41	1	0
tt-discriminated-fetch-response	A	r41	1	0
eh-exception-vs-null	A	r41	1	0
eh-preserve-cause	A	r41	1	0
eh-retry-vs-permanent	A	r41	1	0
eh-typed-result-pipeline	A	r41	1	0
ap-search-stale-result	A	r41	1	0
ap-bounded-parallelism	A	r41	1	0
ap-fire-and-forget-unhandled	A	r41	1	0
ap-timeout-race	A	r41	1	0
tt-state-discriminated-union	A	r42	1	0
tt-derive-from-value	A	r42	1	0
tt-branded-id	A	r42	1	0
tt-discriminated-fetch-response	A	r42	1	0
eh-preserve-cause	A	r42	1	0
eh-retry-vs-permanent	A	r42	1	0
eh-typed-result-pipeline	A	r42	1	0
ap-search-stale-result	A	r42	1	0
ap-bounded-parallelism	A	r42	1	0
ap-fire-and-forget-unhandled	A	r42	1	0
ap-timeout-race	A	r42	1	0
tt-state-discriminated-union	A	r43	1	0
tt-derive-from-value	A	r43	1	0
tt-branded-id	A	r43	1	0
tt-discriminated-fetch-response	A	r43	1	0
eh-exception-vs-null	A	r43	1	0
eh-preserve-cause	A	r43	1	0
eh-retry-vs-permanent	A	r43	1	0
eh-typed-result-pipeline	A	r43	1	0
ap-search-stale-result	A	r43	1	0
ap-bounded-parallelism	A	r43	1	0
ap-fire-and-forget-unhandled	A	r43	1	0
ap-timeout-race	A	r43	1	0
tt-state-discriminated-union	B	r41	1	0
tt-derive-from-value	B	r41	1	0
tt-branded-id	B	r41	1	0
tt-discriminated-fetch-response	B	r41	1	0
eh-exception-vs-null	B	r41	1	0
eh-preserve-cause	B	r41	1	0
eh-retry-vs-permanent	B	r41	1	0
eh-typed-result-pipeline	B	r41	1	0
ap-search-stale-result	B	r41	1	0
ap-bounded-parallelism	B	r41	1	0
ap-fire-and-forget-unhandled	B	r41	1	0
ap-timeout-race	B	r41	1	0
tt-state-discriminated-union	B	r42	1	0
tt-derive-from-value	B	r42	1	0
tt-branded-id	B	r42	1	0
tt-discriminated-fetch-response	B	r42	1	0
eh-exception-vs-null	B	r42	1	0
eh-retry-vs-permanent	B	r42	1	0
eh-typed-result-pipeline	B	r42	1	0
ap-search-stale-result	B	r42	1	0
ap-bounded-parallelism	B	r42	1	0
ap-fire-and-forget-unhandled	B	r42	1	0
ap-timeout-race	B	r42	1	0
tt-state-discriminated-union	B	r43	1	0
tt-derive-from-value	B	r43	1	0
tt-branded-id	B	r43	1	0
tt-discriminated-fetch-response	B	r43	1	0
eh-exception-vs-null	B	r43	1	0
eh-preserve-cause	B	r43	1	0
eh-retry-vs-permanent	B	r43	1	0
eh-typed-result-pipeline	B	r43	1	0
ap-search-stale-result	B	r43	1	0
ap-bounded-parallelism	B	r43	1	0
ap-fire-and-forget-unhandled	B	r43	1	0
ap-timeout-race	B	r43	1	0
